,Aircraft,Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Food_Beverages,Inflight_Entertainment,Ground_Service,Wifi_Connectivity,Value_For_Money,Recommended
60,,Solo Leisure,Economy Class,Belgrade to San Francisco via Istanbul,July 2023,1,4,3,3,3,1,2,no
61,,Couple Leisure,Economy Class,Accra to Istanbul,September 2023,1,1,,,1,,1,no
62,A350-900,Solo Leisure,Business Class,Birmingham to Ho Chi Minh City via Istanbul,July 2023,3,1,1,2,1,1,1,no
63,,Family Leisure,Economy Class,Munich to Baku via Antalya,August 2023,1,1,,,1,,1,no
64,,Family Leisure,Economy Class,Brussels to Jakarta via Istanbul,July 2023,3,4,4,4,4,,2,no
65,A321 Neo,Couple Leisure,Business Class,Istanbul to Samarkand,September 2023,4,4,5,5,3,,4,yes
66,,Family Leisure,Economy Class,Barcelona to Singapore via Istanbul,September 2023,4,5,4,4,1,4,3,no
67,,Couple Leisure,Economy Class,Miami to Athens via Istanbul,July 2023,3,2,5,5,3,2,2,no
68,,Solo Leisure,Economy Class,Singapore to Copenhagen via Istanbul,September 2023,3,3,2,2,1,1,2,no
69,,Couple Leisure,Economy Class,New York to Athens via Istanbul,September 2023,2,1,1,1,1,1,1,no
70,A330 / A350,Family Leisure,Economy Class,Rome to Singapore via Istanbul,August 2023,1,1,2,1,1,,2,no
71,,Business,Premium Economy,Tashkent to Istanbul,September 2023,3,1,3,3,2,,1,no
72,A321 neo,Couple Leisure,Business Class,Budapest to Istanbul,September 2023,4,5,5,1,5,,4,yes
73,,Solo Leisure,Economy Class,Boston to Tel-Aviv via Istanbul,December 2022,4,4,4,4,1,4,1,no
74,,Family Leisure,Business Class,Singapore to London via Istanbul,September 2023,3,4,3,3,1,3,1,no
75,,Solo Leisure,Business Class,Tehran to Malaga via Istanbul,September 2023,2,2,3,,1,,1,no
76,Boeing 777,Family Leisure,Economy Class,Mumbai to Los Angeles via Istanbul,September 2023,3,1,1,2,3,2,4,no
77,,Family Leisure,Economy Class,Moscow to Frankfurt via Istanbul,August 2023,1,2,,1,1,1,1,no
78,Boeing 787-9,Couple Leisure,Economy Class,Denpasar to Malaga via Istanbul,September 2023,3,4,4,5,1,2,1,no
79,,Solo Leisure,Economy Class,Marrakesh to Los Angeles via Istanbul,September 2023,1,2,1,2,1,2,1,no
80,,Business,Economy Class,Dubai to Nouakchott via Istanbul,April 2023,,,,,1,,1,no
81,,Couple Leisure,Economy Class,Dubai to Madrid via Istanbul,July 2023,1,1,1,,1,,1,no
82,,Solo Leisure,Economy Class,Istanbul to Mardin,September 2023,1,1,1,1,1,1,1,no
83,,Business,Economy Class,Antalya to Kuala Lumpur via Istanbul,August 2023,1,2,2,2,1,1,2,no
84,,Family Leisure,Economy Class,Bali to Amsterdam via Istanbul,August 2023,3,2,3,2,1,2,1,no
85,,Family Leisure,Economy Class,Dubai to Algiers via Istanbul,August 2023,2,1,1,4,1,1,1,no
86,,Couple Leisure,Economy Class,Venice to Tbilisi via Istanbul,August 2023,4,2,5,3,1,1,1,no
87,,Family Leisure,Economy Class,Bangkok to Istanbul,September 2023,3,1,1,3,1,3,1,no
88,,Family Leisure,Economy Class,Dallas to Bahrain via Istanbul,July 2023,1,1,2,1,1,,1,no
89,,Family Leisure,Economy Class,Istanbul to Venice,August 2023,2,1,1,3,1,1,1,no
90,Boeing 787,Couple Leisure,Economy Class,Kuala Lumpur to Rome via Istanbul,August 2023,2,3,3,3,3,3,2,no
91,,Couple Leisure,Economy Class,Dubai to Madrid via Istanbul,July 2023,1,1,1,1,1,,1,no
92,,Family Leisure,Economy Class,,August 2023,1,1,1,1,1,1,2,no
93,,Business,Business Class,Brussels to Taipei via Istanbul,August 2023,2,3,3,4,1,4,2,no
94,,Family Leisure,Economy Class,Tehran to Stansted via Istanbul,August 2023,1,1,1,1,1,1,1,no
