,Aircraft,Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Food_Beverages,Inflight_Entertainment,Ground_Service,Wifi_Connectivity,Value_For_Money,Recommended
490,,Solo Leisure,Economy Class,Berlin to Delhi via Istanbul,October 2021,,,,,,,1,no
491,,Family Leisure,Economy Class,Boston to Tehran via Istanbul,November 2020,,,,,,,2,no
492,,Family Leisure,Economy Class,Istanbul to Bodrum,July 2021,3,5,3,3,3,,3,no
493,,Solo Leisure,Economy Class,Istanbul to Atlanta,September 2021,3,2,2,3,1,,1,no
494,,Solo Leisure,Economy Class,Istanbul to Frankfurt,September 2021,4,3,4,,1,,1,no
495,A321 NEO,Solo Leisure,Economy Class,Istanbul to Athens,October 2021,2,1,1,1,1,1,1,no
496,,Couple Leisure,Economy Class,Dhaka to London via Istanbul,October 2021,4,4,3,3,1,,1,no
497,A321,Solo Leisure,Economy Class,Tbilisi to Istanbul,October 2021,5,5,5,5,5,2,5,yes
498,,Couple Leisure,Economy Class,Miami to Athens via Istanbul,October 2021,,,,,,,1,no
499,,Family Leisure,Economy Class,Kyiv to Vancouver via Istanbul,July 2021,4,4,3,4,2,1,3,no
500,,Business,Economy Class,Copenhagen to Istanbul,October 2021,2,3,3,3,1,,1,no
501,Boeing 787,Couple Leisure,Business Class,San Francisco to Rome via Istanbul,October 2021,3,4,3,3,1,1,1,no
502,,Business,Economy Class,Tashkent to Zurich via Istanbul,October 2021,4,5,5,5,4,,5,yes
503,,Family Leisure,Economy Class,,November 2020,,,,,,,1,no
504,,Solo Leisure,Economy Class,Odesa to Miami ia Istanbul,October 2021,,,,,,,1,no
505,,Solo Leisure,Economy Class,Istanbul to Johannesburg,October 2021,2,1,2,1,1,,1,no
506,,Solo Leisure,Economy Class,Toronto to Sarajevo via Istanbul,September 2021,1,1,1,1,1,1,1,no
507,A321 / Boeing 737-800,Solo Leisure,Economy Class,Bishkek to Belgrade via Istanbul,September 2021,3,3,2,3,2,1,3,no
508,Boeing 787,Couple Leisure,Business Class,Athens to Panama via Istanbul,September 2021,5,1,3,2,5,5,4,no
509,,Family Leisure,Economy Class,Lahore to San Francisco via Istanbul,September 2021,1,1,,,1,,1,no
510,A320,Family Leisure,Economy Class,Warsaw to Antalya,August 2021,3,4,3,4,1,3,3,no
511,A320,Business,Economy Class,Athens to Istanbul,September 2021,2,1,1,1,1,1,2,no
512,Boeing 737 / 777,Business,Business Class,Sofia to Amsterdam via Istanbul,September 2021,5,5,5,5,4,5,5,yes
513,,Couple Leisure,Economy Class,Zagreb to Los Angeles via Istanbul,September 2021,4,4,5,5,5,,5,yes
514,,Family Leisure,Economy Class,Baghdad to Austin via Istanbul / Houston,July 2021,2,1,1,2,1,1,1,no
515,Boeing 787,Solo Leisure,Economy Class,Istanbul to Mexico City,August 2021,5,5,5,4,5,,5,yes
516,Boeing 777,Solo Leisure,Economy Class,Hong Kong to Istanbul,August 2021,5,5,5,3,5,,5,yes
517,,Solo Leisure,Economy Class,Warsaw to Istanbul,September 2021,,,,,1,,1,no
518,,Family Leisure,Economy Class,Houston to Kuwait via Istanbul,August 2021,4,5,,,1,,1,no
519,,Family Leisure,Economy Class,Newark to Istanbul,August 2021,3,2,4,4,3,,1,no
520,,Couple Leisure,Economy Class,Istanbul to Washington,September 2021,3,3,3,4,4,3,3,yes
521,,Family Leisure,Economy Class,Istanbul to Izmir,September 2021,,,,,,,1,no
522,,Couple Leisure,Economy Class,Dhaka to Miami via Istanbul,September 2021,2,1,3,3,1,,3,no
523,,Business,Business Class,Athens to New York via Istanbul,August 2021,1,1,4,1,2,4,1,no
524,,Couple Leisure,Economy Class,Cologne to Antalya,August 2021,1,3,1,1,1,1,1,no
525,,Family Leisure,Economy Class,Los Angeles to Istanbul,September 2021,,,,,,,1,no
526,Boeing 777-300,Business,Business Class,Istanbul to San Francisco,September 2021,2,4,4,3,4,4,2,no
527,,Solo Leisure,Economy Class,New York to Venice via Istanbul,August 2021,1,1,1,1,1,1,1,no
528,,Solo Leisure,Economy Class,Toronto to Milan via Istanbul,August 2021,2,1,4,4,2,1,1,no
529,,Solo Leisure,Economy Class,Hong Kong to Paris via Istanbul,July 2021,4,5,5,,4,,5,yes
530,Boeing 777,Business,Business Class,Miami to Jakarta via Istanbul,August 2021,1,1,2,3,3,5,3,no
531,Boeing 787-9,Family Leisure,Business Class,Mexico to Sarajevo via Istanbul,August 2021,5,5,5,5,1,5,1,no
532,A321,Business,Economy Class,Athens to Istanbul,August 2021,2,1,1,1,1,1,2,no
533,,Solo Leisure,Economy Class,Phoenix to Ankara,May 2021,5,5,5,5,5,5,5,yes
534,,Solo Leisure,Economy Class,Antalya to Miami via Istanbul,August 2021,1,1,1,1,1,1,1,no
535,,Family Leisure,Economy Class,Toronto to Istanbul,August 2021,,,,,,,3,no
536,,Family Leisure,Economy Class,Newark to Istanbul,August 2021,1,1,1,1,1,,1,no
537,Boeing 787,Family Leisure,Economy Class,Istanbul to Miami,August 2021,1,2,1,2,1,1,1,no
538,,Family Leisure,Economy Class,Ljubljana to Doha via Istanbul,August 2021,3,2,3,3,1,3,1,no
539,,Business,Economy Class,London to Manila via Istanbul,December 2020,,,,,,,5,yes
540,,Solo Leisure,Economy Class,Karachi to Dublin via Istanbul,August 2021,1,1,,,1,,1,no
541,,Family Leisure,Economy Class,Bucharest to Chicago via Istanbul,July 2021,1,1,,,1,,1,no
542,,Couple Leisure,Economy Class,Male to Istanbul,July 2021,3,3,2,2,1,1,1,no
543,,Business,Economy Class,Istanbul to Malta,August 2021,,,,,,,3,no
544,,Family Leisure,Economy Class,Dublin to Nur-Sultan via Istanbul,January 2021,,,,,,,2,no
545,Boeing 787-9 M,Solo Leisure,Economy Class,Vancouver to Singapore via Istanbul,July 2021,3,3,2,1,1,1,1,no
546,Boeing 737 / A321,Solo Leisure,Business Class,Luxembourg to Izmir via Istanbul,July 2021,5,4,5,5,1,,3,no
547,,Couple Leisure,Economy Class,Geneva to Istanbul,April 2021,,,,,,,1,no
548,,Family Leisure,Economy Class,Cluj to Chicago via Istanbul,July 2021,,,,,1,,1,no
549,,Family Leisure,Economy Class,Los Angeles to Izmir via Istanbul,July 2021,2,3,4,3,3,1,3,no
550,,Family Leisure,Economy Class,Kiyv to Vancouver via Istanbul,July 2021,4,4,4,5,1,1,2,no
551,A330,Family Leisure,Economy Class,Boston to Kyiv via Istanbul,July 2021,,,,,1,,1,no
552,,Family Leisure,Economy Class,Niamey to Cluj napoca via Istanbul,June 2021,1,1,1,1,2,1,3,no
553,,Solo Leisure,Economy Class,Vancouver to Vienna via Istanbul,June 2021,3,5,4,4,1,,3,no
554,,Family Leisure,Economy Class,Los Angeles to Amman via Istanbul,July 2021,1,1,1,1,1,1,1,no
555,Boeing 777,Couple Leisure,Economy Class,Chicago to Athens via Istanbul,July 2021,3,3,4,4,1,,2,no
556,,Solo Leisure,Economy Class,Lima to Panamá via Istanbul,January 2021,2,1,2,1,1,,1,no
557,,Family Leisure,Economy Class,Atlanta to Karachi via Istanbul,July 2021,,,,,,,1,no
558,Boeing 777,Family Leisure,Economy Class,Karachi to Los Angeles via Istanbul,May 2021,,,,,,,1,no
559,,Solo Leisure,Economy Class,Washington to Mashhad via Istanbul,June 2021,3,2,1,3,1,2,1,no
560,,Solo Leisure,Economy Class,Chicago to Karachi via Istanbul,July 2020,,,,,,,1,no
561,,Solo Leisure,Economy Class,Dubai to Malaga via Istanbul,June 2021,4,3,2,4,1,1,3,no
562,,Couple Leisure,Economy Class,Toronto to Doha via Istanbul,September 2020,1,1,1,1,1,1,1,no
563,,Family Leisure,Economy Class,Dhaka to Madrid via Istanbul,May 2021,1,1,1,2,1,1,1,no
564,A321 neo,Solo Leisure,Economy Class,Tbilisi to Istanbul,June 2021,4,5,5,4,4,4,5,yes
565,A321,Solo Leisure,Economy Class,Athens to Istanbul,May 2021,2,1,1,1,1,1,1,no
566,,Couple Leisure,Economy Class,Toronto to Istanbul,July 2020,5,5,5,5,5,4,5,yes
567,,Business,Economy Class,Istanbul to Miami,June 2021,3,3,1,3,4,4,1,no
568,,Solo Leisure,Economy Class,Cologne to Kathmandu via Istanbul,March 2021,2,2,2,2,1,2,1,no
569,Boeing 777-300,Family Leisure,Economy Class,Toronto to Istanbul,June 2021,5,5,5,4,5,4,5,yes
570,,Solo Leisure,Economy Class,Milan to Baghdad via Istanbul,May 2021,3,3,2,3,1,1,1,no
571,,Family Leisure,Economy Class,Abu Dhabi to Thessaloniki via Istanbul,May 2021,,,,,1,,1,no
572,,Solo Leisure,Economy Class,Odessa to Seattle via Istanbul,July 2020,,,,,,,1,no
573,,Family Leisure,Economy Class,London to Karachi,May 2021,,,,,,,1,no
574,,Couple Leisure,Economy Class,Tehran to Chicago via Istanbul,May 2021,3,3,3,3,1,3,1,no
575,Boeing 777,Couple Leisure,Economy Class,İstanbul to Islamabad,May 2021,2,1,2,2,3,,1,no
576,A321,Solo Leisure,Business Class,Istanbul to London,April 2021,4,5,4,5,4,4,4,yes
577,Boeing 777-300,Solo Leisure,Economy Class,London to Istanbul,May 2021,3,3,2,2,3,,1,no
578,,Solo Leisure,Economy Class,Istanbul to Houston,May 2021,2,2,1,1,1,1,1,no
579,,Solo Leisure,Economy Class,Vilnius to Tashkent via Istanbul,April 2021,3,4,4,,1,,1,no
580,,Couple Leisure,Economy Class,Moscow to Athens via Istanbul,May 2021,3,3,2,3,1,,1,no
581,,Business,Business Class,Toronto to Hong Kong via Istanbul,April 2021,2,3,3,1,1,1,1,no
582,,Business,Business Class,Kabul to Istanbul,August 2020,,,,,,,2,no
583,,Business,Economy Class,Atlanta to Addis Ababa via Istanbul,April 2021,2,1,,,1,1,1,yes
584,Boeing 787 / A330,Business,Economy Class,Vienna to Tashkent via Istanbul,April 2021,4,4,5,5,4,5,5,yes
585,,Solo Leisure,Economy Class,Mogadishu to Chicago via Istanbul,April 2021,,,,,1,,2,no
586,,Family Leisure,Economy Class,Istanbul to Tblisi,April 2021,1,1,1,1,1,1,1,no
587,,Solo Leisure,Economy Class,Jakarta to Manchester via Istanbul,April 2021,4,5,5,5,5,,5,yes
588,,Solo Leisure,Premium Economy,New York to Istanbul,April 2021,2,2,,,1,,1,no
589,Boeing 777,Business,Business Class,Kabul to London via Istanbul,March 2021,3,4,3,,3,,4,yes
590,,Business,Economy Class,Huston to Pristina via Istanbul,March 2021,1,1,1,1,1,1,1,no
591,A320-200,Couple Leisure,Economy Class,Istanbul to Dalaman,March 2021,3,4,,,3,,4,yes
592,A320 NEO,Couple Leisure,Economy Class,Malta to Istanbul,March 2021,4,3,3,4,5,,4,yes
593,,Solo Leisure,Economy Class,Tel Aviv to Amsterdam,March 2021,,,,,1,,1,no
594,,Solo Leisure,Economy Class,Paris to Cairo via Istanbul,January 2021,,,,,1,,1,no
595,,Family Leisure,Economy Class,Karachi to London via Istanbul,March 2021,1,1,1,1,1,1,1,no
596,,Solo Leisure,Economy Class,Addis Ababa to Washington via Istanbul,February 2021,1,1,1,1,1,1,1,no
597,,Solo Leisure,Economy Class,Dar es Salaam to Istanbul,March 2021,3,2,1,3,3,,3,yes
598,,Couple Leisure,Economy Class,Addis Ababa to Los Angeles via Istanbul,February 2021,3,4,1,3,2,,5,no
599,,Business,Economy Class,Los Angeles to Podgorica via Istanbul,February 2021,1,1,1,2,1,2,1,no
600,,Business,Economy Class,Khartoum to Malaga via Istanbul,February 2021,,,,,1,1,1,no
601,,Business,Business Class,Kuala Lumpur to London,February 2021,1,1,,,1,,1,no
602,,Solo Leisure,Economy Class,Tehran to Stockholm via Istanbul,February 2021,,,,,,,1,no
603,A350,Business,Business Class,New York to İstanbul,February 2021,3,1,1,4,4,2,1,no
604,,Business,Economy Class,Rome to Khartoum via Istanbul,February 2021,3,2,1,4,1,1,1,no
605,,Solo Leisure,Economy Class,Madrid to Tel Aviv via Istanbul,January 2021,,,,,,,1,no
606,Boeing 787-9/777-300,Couple Leisure,Business Class,Atlanta to Dubai via Istanbul,December 2020,2,3,2,2,1,1,2,no
607,A330-300 / Boeing 787-9,Couple Leisure,Business Class,Dubai to San Francisco via Istanbul,December 2020,1,1,,,1,,1,no
608,,Solo Leisure,Economy Class,Odessa to Seattle via Istanbul,December 2020,,,,,,,3,no
609,A330,Business,Economy Class,Istanbul to Kuwait,January 2021,1,1,1,2,1,1,1,no
610,,Family Leisure,Economy Class,Lviv to Chicago via Istanbul,February 2021,1,1,1,1,1,1,1,no
611,Boeing 787-9,Solo Leisure,Economy Class,Miami to Kyiv via Istanbul,January 2021,1,1,1,2,1,1,1,no
612,Boeing 777,Business,Economy Class,London Heathrow to Istanbul,February 2021,3,1,1,4,5,,2,no
613,Boeing 737-900,Family Leisure,Business Class,Hurghada to Istanbul,February 2020,5,5,5,5,4,,5,yes
614,,Family Leisure,Economy Class,Doha to Cairo via Istanbul,January 2021,2,2,3,3,1,,2,no
615,,Business,Economy Class,Los Angeles to Paris via Istanbul,January 2021,1,1,1,1,1,1,1,no
616,,Solo Leisure,Economy Class,Lahore to Warsaw via Istanbul,December 2020,1,1,1,1,1,1,1,no
617,,Business,Economy Class,Istanbul to Cairo,February 2020,,,,,,,1,no
618,A320 and A330,Solo Leisure,Economy Class,Ljubljana to Bangkok via Istanbul,January 2021,,,,,,,1,no
619,,Couple Leisure,Economy Class,Kuala Lumpur to Paris via Istanbul,July 2020,3,2,2,3,1,,1,no
620,,Solo Leisure,Economy Class,São Paulo to Jakarta via Istanbul,January 2021,,,,,,,1,no
621,,Family Leisure,Economy Class,Boston to Karachi via Istanbul,December 2020,,,,,,,1,no
622,,Solo Leisure,Economy Class,Manila to Cancun via Istanbul,December 2020,2,2,,,1,,1,no
623,,Solo Leisure,Economy Class,Shiraz to Chicago,February 2020,1,1,,,1,,1,no
624,,Couple Leisure,Economy Class,Turkey to Colombia,December 2020,2,2,1,3,2,,1,no
625,A320-200,Couple Leisure,Economy Class,Istanbul to Malta,December 2020,3,4,2,2,4,,4,yes
626,A320-300,Couple Leisure,Economy Class,Antalya to Istanbul,December 2020,3,4,,3,4,,4,yes
627,,Solo Leisure,Economy Class,Lyon to Istanbul,December 2020,1,1,1,1,1,,1,no
628,,Family Leisure,Economy Class,Seoul to Kyiv via Istanbul,December 2020,,,,,,,1,no
629,A321,Family Leisure,Economy Class,Istanbul to Madrid,December 2020,3,2,2,4,3,,1,no
630,,Solo Leisure,Economy Class,Basel to Johannesburg via Istanbul,December 2020,4,4,4,5,4,,5,yes
631,A330,Solo Leisure,Economy Class,London to Istanbul via Karachi,December 2020,2,2,1,2,2,1,2,no
632,,Family Leisure,Economy Class,Lahore to Dublin via Istanbul,December 2020,,,,,,,2,no
633,,Solo Leisure,Economy Class,Chicago to Accra via Istanbul,December 2020,2,1,1,1,1,,1,no
634,Boeing 787-9,Solo Leisure,Economy Class,Chicago to Karachi,December 2020,1,1,1,1,1,1,1,no
635,A330-200,Solo Leisure,Economy Class,Istanbul to Amsterdam,December 2020,1,2,2,3,1,1,1,no
636,,Solo Leisure,Economy Class,Boston to Istanbul,July 2020,1,3,1,1,1,1,1,no
637,,Business,Economy Class,Los Angeles to Istanbul,December 2020,3,4,2,3,1,,1,no
638,,Solo Leisure,Economy Class,Copenhagen to Banjul via Istanbul,December 2020,,,,,,,1,no
639,,Couple Leisure,Economy Class,Male to Bucharest via Istanbul,December 2020,1,1,1,,1,,1,no
640,,Solo Leisure,Economy Class,Chicago to Kathmandu vis Istanbul,December 2020,1,1,1,1,1,1,1,no
641,,Solo Leisure,Economy Class,Istanbul to Toronto,December 2020,1,1,1,1,1,1,1,no
642,,Solo Leisure,Economy Class,Atlanta to Instanbul via Bucharest,July 2020,,,,,,,1,no
643,A330-300,Family Leisure,Economy Class,Lahore to Berlin via Istanbul,December 2020,1,1,1,1,1,1,1,no
644,,Couple Leisure,Economy Class,Lagos to Dubai via Istanbul,November 2020,,,,,,,1,no
645,,Couple Leisure,Economy Class,Houston to Cairo via Istanbul,November 2020,1,1,1,1,1,1,1,no
646,,Business,Economy Class,Jakarta to Amsterdam,October 2020,1,1,1,1,1,1,1,no
647,,Solo Leisure,Economy Class,Moscow to Houston via Istanbul,November 2020,,,,,,,3,no
648,,Family Leisure,Economy Class,ISTANBUL to LONDONIstanbul to London,November 2020,3,3,2,3,3,1,3,no
649,A321neo,Solo Leisure,Economy Class,Moscow-Vnukovo to Berlin-Bradenburg via Istanbul,November 2020,5,5,3,5,3,1,5,yes
650,Boeing 777-300ER,Solo Leisure,Economy Class,Accra to New York via Istanbul,November 2020,1,1,1,1,1,,2,no
651,A321neo,Business,Economy Class,Istanbul to Vienna,November 2020,5,4,2,5,4,,4,yes
652,A330-300,Solo Leisure,Economy Class,Kuwait to Kiev via Istanbul,November 2020,1,3,1,4,1,1,4,no
653,,Family Leisure,Economy Class,Kuwait to Toronto via Istanbul,September 2020,2,3,1,1,3,1,2,no
654,Boeing 777-300,Couple Leisure,Business Class,Istanbul to Los Angeles,October 2020,2,4,1,3,1,1,1,no
655,A320,Couple Leisure,Business Class,Istambul to Dalaman,October 2020,1,1,1,1,1,1,1,no
656,,Business,Economy Class,Hong Kong to Nice via Istanbul,November 2019,,,,,,,2,no
657,Boeing 787-9,Solo Leisure,Economy Class,Istanbul to Miami,October 2020,2,1,1,3,1,3,2,no
658,,Solo Leisure,Economy Class,Moscow to Los Angeles via Istanbul,September 2020,1,1,1,,1,,1,no
659,,Solo Leisure,Economy Class,Moscow to Chicago via Istanbul,September 2020,4,5,1,4,1,,1,no
660,A320 / Boeing 737,Business,Business Class,Zurich to Istanbul,October 2020,5,1,1,5,2,3,1,yes
661,,Couple Leisure,Economy Class,Amsterdam to Gazipasa via Istanbul,September 2020,4,1,2,4,1,1,1,no
662,,Family Leisure,Economy Class,San Francisco to Istanbul,September 2020,3,2,1,1,1,1,2,no
663,,Couple Leisure,Business Class,Miami to Istanbul,January 2020,2,2,2,2,1,1,1,no
664,Boeing 777-300,Solo Leisure,Business Class,Lahore to Istanbul via Washington DC,September 2020,3,1,1,3,2,3,1,no
665,A320,Solo Leisure,Economy Class,Cebu to Manila,May 2020,2,3,1,,1,,2,no
666,,Solo Leisure,Economy Class,Berlin to Manila via Istanbul,September 2020,1,1,1,1,1,1,1,no
667,,Solo Leisure,Economy Class,San Francisco to Tehran via Istanbul,September 2020,,,,,,,1,no
668,,Solo Leisure,Economy Class,Los Angeles to Tehran via Istanbul,September 2020,,,,,,,1,no
669,A330-300,Business,Economy Class,Kuala Lumpur to Milan via Istanbul,June 2020,,,,,,,1,no
670,,Solo Leisure,Economy Class,Barcelona to Cairo via Istanbul,July 2020,,,,,,,1,no
671,Boeing 787-9,Couple Leisure,Economy Class,San Francisco to Istanbul,August 2020,1,1,1,1,1,1,1,no
672,Boeing 737-900,Business,Business Class,Istanbul to Basel-Mulhouse,August 2020,3,3,1,3,1,1,1,no
673,,Solo Leisure,Economy Class,Chicago to Skopje via Istanbul,August 2020,3,4,1,4,3,,1,no
674,A321-200NEO,Family Leisure,Business Class,Istanbul to Doha,August 2020,4,3,1,1,3,1,5,yes
675,,Solo Leisure,Economy Class,Washington DC to Kigali via Istanbul,March 2020,1,1,1,1,1,1,1,no
676,,Family Leisure,Economy Class,Dhaka to Manchester via Istanbul,August 2020,2,1,1,2,4,4,1,no
677,,Solo Leisure,Economy Class,Abu Dhabi to Warsaw via Istanbul,February 2020,,,,,,,1,no
678,,Solo Leisure,Economy Class,Ankara to New York,December 2019,,,,,,,1,no
679,,Business,Business Class,Moscow to Berlin via Istanbul,August 2020,,,,,,,1,no
680,,Family Leisure,Economy Class,Manchester to Istanbul,August 2020,3,2,1,3,3,1,2,no
681,Boeing 777,Solo Leisure,Business Class,Istanbul to London,August 2020,3,2,1,3,2,4,3,yes
682,,Family Leisure,Economy Class,Singapore to Istanbul,August 2020,,,,,,,1,no
683,,Solo Leisure,Economy Class,Dhaka to Istanbul,July 2020,,,,,1,,1,no
684,,Solo Leisure,Economy Class,Montreal to Sofia via Instambul,March 2020,,,,,,,1,no
685,,Solo Leisure,Economy Class,Singapore to New York via Istanbul,July 2020,,,,,,,1,no
686,Boeing 787,Couple Leisure,Economy Class,Barcelona to Bangkok via Istanbul,July 2020,,,,,,,4,no
687,,Business,Economy Class,Istanbul to Copenhagen,November 2019,,,,,,,1,no
688,,Couple Leisure,Economy Class,Istanbul to Izmir,July 2020,3,2,,,1,,2,no
689,,Solo Leisure,Economy Class,London to Dubrovnik via Istanbul,May 2020,,,,,,,1,no
690,,Solo Leisure,Economy Class,Istanbul to Sao Paulo,March 2020,3,3,3,2,1,2,4,no
691,,Business,Economy Class,Denver to Kiev via Chicago / Istanbul,July 2020,,,,,,,1,no
692,,Family Leisure,Economy Class,Hong Kong to Málaga via Istanbul,June 2020,,,,,,,1,no
693,,Solo Leisure,Economy Class,Tashkent to Toronto via Istanbul,June 2020,,,,,,,1,no
694,,Couple Leisure,Economy Class,Los Angeles to Cairo via Instanbul,July 2019,,,,,,,1,no
695,,Solo Leisure,Economy Class,Toronto to Istanbul,June 2020,,,,,,,1,no
696,,Family Leisure,Economy Class,Tokyo to Sofia via Istanbul,April 2020,,,,,,,2,no
697,,Couple Leisure,Economy Class,Houston to Istanbul,May 2020,,,,,,,1,no
698,,Solo Leisure,Economy Class,London to Bodrum via Istanbul,October 2019,2,1,1,1,1,1,1,no
699,,Family Leisure,Economy Class,Panama City to Tehran via Istanbul,January 2020,1,1,2,1,1,,1,no
700,,Family Leisure,Economy Class,Cairo to Manchester via Istanbul,March 2020,,,,,,,1,no
701,,Solo Leisure,Economy Class,Stuttgart to Douala via Istanbul,December 2019,1,1,1,1,1,1,1,no
702,,Couple Leisure,Economy Class,Sao Paulo to Istanbul,April 2020,,,,,,,1,no
703,,Solo Leisure,Economy Class,Chicago to Istanbul,March 2020,,,,,,,1,no
704,,Solo Leisure,Economy Class,London to Antalya via Istanbul,March 2020,3,2,,,1,,1,no
705,,Solo Leisure,Economy Class,Miami to Tel Aviv via Istanbul,April 2020,,,,,,,1,no
706,,Solo Leisure,Economy Class,Delhi to Boston via Istanbul,November 2019,,,,,,,1,no
707,,Family Leisure,Economy Class,Ankara to Istanbul,March 2020,3,2,3,3,2,,2,no
708,,Couple Leisure,Economy Class,London to Cape Town via Istanbul,March 2020,,,,,,,1,no
709,,Couple Leisure,Economy Class,Keyseri to Athens via Istanbul,March 2020,1,1,,,1,,1,no
710,,Couple Leisure,Economy Class,Atlanta to Istanbul,March 2020,3,2,4,4,1,1,2,yes
711,,Couple Leisure,Economy Class,Seychelles to Budapest via Istanbul,March 2020,3,3,4,,1,1,1,no
712,Boeing 737,Solo Leisure,Business Class,Istanbul to Moscow,February 2020,1,3,2,1,3,1,2,no
713,A321,Solo Leisure,Business Class,St Petersburgh to Istanbul,February 2020,1,3,1,3,1,1,2,no
714,Boeing 787,Solo Leisure,Business Class,Bogota to Istanbul,February 2020,3,2,2,4,3,4,2,no
715,Boeing 787,Solo Leisure,Business Class,Istanbul to Mexico City,February 2020,3,3,2,4,3,4,2,no
716,,Solo Leisure,Economy Class,London to Ho Chi Minh City via Istanbul,November 2019,1,2,2,3,1,,1,no
717,,Solo Leisure,Economy Class,Mumbai to Berlin via Istanbul,March 2020,,,,,,,1,yes
718,,Solo Leisure,Premium Economy,New York to Cape Town via Istanbul,March 2020,,,,,,,2,no
719,,Solo Leisure,Economy Class,London to Istanbul,February 2020,1,1,1,1,1,1,1,no
720,Boeing 737 / 787,Family Leisure,Economy Class,Malta to Bali via Istanbul,March 2020,1,1,1,1,1,1,1,no
721,,Business,Business Class,Istanbul to Bangkok,March 2020,3,5,4,3,1,,4,yes
722,A321,Solo Leisure,Economy Class,Istanbul to Stuttgart,March 2020,4,5,5,4,4,,5,yes
723,A321,Business,Economy Class,Stuttgart to Istanbul,March 2020,4,5,5,,4,,4,yes
724,,Family Leisure,Economy Class,Kuala Lumpur to Istanbul,March 2020,,,,,,,1,no
725,,Solo Leisure,Economy Class,Kathmandu to Cluj-Napoca via Istanbul,January 2020,1,1,1,1,1,1,1,no
726,,Solo Leisure,Economy Class,Chicago to Kazan via Istanbul,March 2020,,,,,,,1,no
727,,Family Leisure,Economy Class,Istanbul to Tel Aviv,February 2020,,,,,,,1,no
728,,Couple Leisure,Economy Class,Male to Amsterdam via Istanbul,February 2020,1,1,1,1,1,1,1,no
729,,Business,Economy Class,Helsinki to Istanbul via Kathmandu,February 2020,4,4,4,4,1,2,4,no
730,,Business,Economy Class,Johannesburg to Dusseldorf via Istanbul,February 2020,1,1,3,2,1,1,3,no
731,,Couple Leisure,Economy Class,Dakar to Prague via Istanbul,February 2020,3,1,4,2,2,1,1,no
732,,Business,Economy Class,Tashkent to Belgrade via Istanbul,February 2020,1,1,1,1,1,1,1,no
733,,Family Leisure,Economy Class,Prague to Sharm el Sheikh via Istanbul,February 2020,1,1,1,1,1,1,1,no
734,A321-200,Couple Leisure,Economy Class,Istanbul to Vienna,October 2019,5,5,4,5,5,,5,yes
735,,Family Leisure,Economy Class,Atlanta to Istanbul,February 2020,1,1,,,1,,1,no
736,A330-200 / 300,Solo Leisure,Business Class,Amsterdam to Bangkok via Istanbul,February 2020,4,4,4,4,4,4,4,yes
737,Boeing 777 / A321,Business,Business Class,Dammam to New York via Istanbul,February 2020,2,1,1,3,3,,3,no
738,,Couple Leisure,Economy Class,Los Angeles to Lahore via Istanbul,January 2020,3,2,4,3,1,,2,no
739,Boeing 737-800 / 787,Solo Leisure,Business Class,Dar es Salaam to Washington via Istanbul,February 2020,1,1,,,1,,1,no
740,A321,Solo Leisure,Economy Class,Amsterdam to Istanbul,June 2019,4,4,4,,4,,4,yes
741,,Solo Leisure,Economy Class,Stockholm to Tunis via Istanbul,February 2020,2,1,2,1,1,1,1,no
742,,Couple Leisure,Economy Class,Bangkok to Tirana via Istanbul,December 2019,4,4,4,3,1,,2,no
743,Boeing 777-300ER,Solo Leisure,Economy Class,Istanbul to Singapore,January 2020,5,1,3,5,1,4,4,yes
744,,Family Leisure,Economy Class,Jakarta to Iayseri via Istanbul,February 2020,4,2,3,2,2,2,4,no
745,,Solo Leisure,Economy Class,Cairo to Istanbul,January 2020,5,2,4,5,1,3,4,yes
746,A330-300 / A321,Business,Economy Class,Dhaka to Paris via Istanbul,May 2019,4,4,4,4,1,,4,yes
747,,Couple Leisure,Economy Class,Baku to Los Angeles via Istanbul,January 2020,,,,,,1,1,no
748,,Couple Leisure,Economy Class,Ulaanbaatar to Paris via Istanbul,February 2020,1,1,1,,1,,1,no
749,,Business,Business Class,Istanbul to Singapore,January 2020,5,5,5,5,5,,5,yes
750,,Family Leisure,Business Class,Amsterdam to Skopje via Istanbul,November 2019,3,3,3,3,1,,2,no
751,,Family Leisure,Economy Class,Milano to Hanoi via Istanbul,January 2020,1,1,2,1,1,,2,no
752,,Family Leisure,Economy Class,Antalya to Odessa via Istanbul,January 2020,4,5,4,4,2,1,2,no
753,Boeing 737,Couple Leisure,Economy Class,Gatwick to Dar es Salaam via Istanbul,January 2020,1,3,3,1,2,1,3,no
754,,Solo Leisure,Business Class,Frankfurt to Singapore via Istanbul,April 2019,4,4,4,,1,,4,no
755,Boeing 737,Solo Leisure,Economy Class,Istanbul to Geneva,January 2020,2,4,5,3,2,,2,no
756,Boeing 777,Family Leisure,Economy Class,Dubai to Thessaloniki via Istanbul,January 2020,5,5,5,5,5,,5,yes
757,Boeing 777,Solo Leisure,Economy Class,Taipei to Porto via Istanbul,December 2019,3,1,3,2,2,1,1,no
758,,Solo Leisure,Economy Class,Dubai to Amsterdam via Istanbul,January 2020,1,1,1,1,1,1,1,no
759,A330-300 / A321,Business,Economy Class,Dhaka to Paris via Istanbul,May 2019,4,4,5,4,1,,4,yes
